Image Path,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,x_21,y_21,z_21
.\dataset.\Three\img_001.jpg,0.20738157629966736,0.4679827094078064,-2.5384554191987263e-07,0.29370352625846863,0.5054489970207214,-0.03589878976345062,0.36991095542907715,0.5337049961090088,-0.06307695806026459,0.40115758776664734,0.560883641242981,-0.08597982674837112,0.3704403340816498,0.587510347366333,-0.10614540427923203,0.3328888714313507,0.4149436354637146,-0.07757265120744705,0.3421381711959839,0.5500410795211792,-0.11291567981243134,0.32615137100219727,0.5646026134490967,-0.13141010701656342,0.3112546503543854,0.5343974232673645,-0.14463698863983154,0.2714320421218872,0.4127180278301239,-0.08085774630308151,0.2812712490558624,0.5786747932434082,-0.11142196506261826,0.27543315291404724,0.56328284740448,-0.11559081077575684,0.27248862385749817,0.5157393217086792,-0.12347808480262756,0.21912795305252075,0.4328419268131256,-0.0858612060546875,0.23097962141036987,0.5918078422546387,-0.10820724070072174,0.23002099990844727,0.5682249069213867,-0.09966759383678436,0.23353508114814758,0.5222934484481812,-0.09685314446687698,0.1782493144273758,0.4598071873188019,-0.09630220383405685,0.1955304592847824,0.5872381925582886,-0.11267474293708801,0.19470790028572083,0.567656397819519,-0.11033673584461212,0.18994592130184174,0.5279284715652466,-0.11048781871795654
.\dataset.\Three\img_002.jpg,0.7188177108764648,0.6151795387268066,6.239106937755423e-07,0.6815630197525024,0.6013766527175903,-0.024366796016693115,0.6386051177978516,0.5509687066078186,-0.042969800531864166,0.6567080616950989,0.514050304889679,-0.06176965311169624,0.7011260986328125,0.494828999042511,-0.07989387959241867,0.6624767780303955,0.4230934977531433,-0.04202244058251381,0.636019229888916,0.3355453908443451,-0.06888315826654434,0.6207852363586426,0.2791173458099365,-0.08372612297534943,0.6115872263908386,0.2288069874048233,-0.09456294775009155,0.7105916738510132,0.4167003631591797,-0.04912463203072548,0.7094464898109436,0.3326713442802429,-0.07550046592950821,0.7143516540527344,0.28324925899505615,-0.08775752782821655,0.7211924195289612,0.2280452400445938,-0.09282535314559937,0.7528159618377686,0.4391234219074249,-0.058091968297958374,0.7239941954612732,0.4615432918071747,-0.08423157036304474,0.7038079500198364,0.5132105946540833,-0.08285178244113922,0.6996572017669678,0.528926432132721,-0.07519565522670746,0.7864375114440918,0.4782942831516266,-0.0702444314956665,0.7527426481246948,0.5084183812141418,-0.08732052892446518,0.7327641844749451,0.5419995784759521,-0.08248832821846008,0.7284549474716187,0.5529036521911621,-0.07490411400794983
.\dataset.\Three\img_003.jpg,0.11258528381586075,0.6111004948616028,-3.569917623735819e-07,0.19544817507266998,0.5859726071357727,-0.030773218721151352,0.2704221308231354,0.5544561743736267,-0.05913899838924408,0.31052500009536743,0.548176109790802,-0.0863804891705513,0.2816849946975708,0.5722448229789734,-0.11010214686393738,0.2111728936433792,0.37294477224349976,-0.05757549777626991,0.26831528544425964,0.5016559958457947,-0.10044080764055252,0.24717092514038086,0.5428903102874756,-0.12647147476673126,0.22586189210414886,0.5153619647026062,-0.1459318995475769,0.14892539381980896,0.390009343624115,-0.06799585372209549,0.2240843027830124,0.5483518242835999,-0.10460177809000015,0.20240435004234314,0.5750500559806824,-0.11140444874763489,0.18478649854660034,0.5342049598693848,-0.11930772662162781,0.09939056634902954,0.43901678919792175,-0.0823085829615593,0.17455153167247772,0.590762197971344,-0.11031769961118698,0.15517190098762512,0.6003464460372925,-0.10288625210523605,0.1370391696691513,0.5549230575561523,-0.09990587085485458,0.05917248874902725,0.5000015497207642,-0.10191074013710022,0.12306737899780273,0.6139075756072998,-0.12105053663253784,0.11614035815000534,0.6185554265975952,-0.12079989165067673,0.10002537071704865,0.5863898396492004,-0.12143547832965851
.\dataset.\Three\img_004.jpg,0.23415769636631012,0.5507581233978271,5.550623427552637e-07,0.3120649456977844,0.5804591774940491,-0.015599817037582397,0.3638414144515991,0.6948240399360657,-0.053717486560344696,0.36343902349472046,0.8188192248344421,-0.08559203892946243,0.33047446608543396,0.887012779712677,-0.11461424827575684,0.3880629241466522,0.6380016207695007,-0.1313495635986328,0.3879784345626831,0.8171519041061401,-0.16636314988136292,0.3661947548389435,0.8583067655563354,-0.1684664487838745,0.3478145897388458,0.8447561264038086,-0.16525810956954956,0.3220336139202118,0.6344313621520996,-0.14332923293113708,0.3248292803764343,0.8472525477409363,-0.17932374775409698,0.3143898844718933,0.8558356761932373,-0.16256418824195862,0.30910366773605347,0.8165493011474609,-0.14888311922550201,0.25549885630607605,0.6457387804985046,-0.14943529665470123,0.25915366411209106,0.837712287902832,-0.1596885770559311,0.2585904002189636,0.823326051235199,-0.12153056263923645,0.2578989863395691,0.7701169848442078,-0.09783517569303513,0.19384461641311646,0.6625819802284241,-0.1574946492910385,0.20570851862430573,0.8108571767807007,-0.15474297106266022,0.2135983556509018,0.813372015953064,-0.12707985937595367,0.21713978052139282,0.7847642302513123,-0.10925260931253433
.\dataset.\Three\img_005.jpg,0.8195580840110779,0.6719812750816345,1.0119166518052225e-06,0.7621192336082458,0.6429810523986816,-0.06238942965865135,0.7405622601509094,0.5776075720787048,-0.10396579653024673,0.7883081436157227,0.5352693796157837,-0.14121650159358978,0.8366038799285889,0.5067536234855652,-0.17486605048179626,0.7810977101325989,0.3984614312648773,-0.07608906179666519,0.7780041694641113,0.2774946987628937,-0.1228446364402771,0.7768505811691284,0.19291095435619354,-0.15446437895298004,0.781119167804718,0.11797267198562622,-0.17645668983459473,0.8396152853965759,0.40096500515937805,-0.07514338940382004,0.8637714982032776,0.2740813195705414,-0.1246500164270401,0.8871145248413086,0.1840825229883194,-0.15313397347927094,0.9104896187782288,0.1043185293674469,-0.16923049092292786,0.8849548101425171,0.43943899869918823,-0.079628586769104,0.9156726598739624,0.38297590613365173,-0.13754399120807648,0.8911479711532593,0.45822811126708984,-0.13940244913101196,0.8684940338134766,0.5182380676269531,-0.12654101848602295,0.9218558073043823,0.4973282516002655,-0.08961397409439087,0.9497627019882202,0.45259416103363037,-0.13607698678970337,0.9275513887405396,0.49551522731781006,-0.1344102919101715,0.9019878506660461,0.5347299575805664,-0.12300695478916168
.\dataset.\Three\img_006.jpg,0.7659273147583008,0.619692325592041,9.729690191306872e-07,0.7071715593338013,0.5855765342712402,-0.04490518197417259,0.674591064453125,0.5381814241409302,-0.0788801833987236,0.7059869766235352,0.5356420278549194,-0.11078272759914398,0.7566866278648376,0.532680332660675,-0.14059653878211975,0.7034460306167603,0.3629706799983978,-0.0774780735373497,0.6923176646232605,0.23751181364059448,-0.12183312326669693,0.6879903674125671,0.15638478100299835,-0.1444786787033081,0.6895248889923096,0.08498050272464752,-0.15845519304275513,0.7694010734558105,0.36765092611312866,-0.08360124379396439,0.7958146333694458,0.2546211779117584,-0.129624605178833,0.8139494061470032,0.174542635679245,-0.15169255435466766,0.8343727588653564,0.091536745429039,-0.16126185655593872,0.8180065751075745,0.4111204743385315,-0.09278623759746552,0.8026002049446106,0.4488837420940399,-0.14094246923923492,0.7633020877838135,0.5106762647628784,-0.14608603715896606,0.7435906529426575,0.5289751887321472,-0.1372787058353424,0.8501169085502625,0.47244182229042053,-0.10611292719841003,0.8179014921188354,0.522502064704895,-0.13857387006282806,0.7816751003265381,0.5549064874649048,-0.13691122829914093,0.7604286074638367,0.5601438879966736,-0.12806537747383118
.\dataset.\Three\img_007.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.\dataset.\Three\img_008.jpg,0.7183743119239807,0.6004431247711182,9.928542112902505e-07,0.6701935529708862,0.5771766901016235,-0.036163579672575,0.6218782663345337,0.5375764966011047,-0.06821133196353912,0.628522515296936,0.5199289917945862,-0.1002819761633873,0.6758697032928467,0.5285704135894775,-0.13230274617671967,0.655716598033905,0.39052510261535645,-0.0649319514632225,0.640097439289093,0.28326138854026794,-0.10271720588207245,0.6316078901290894,0.2172960340976715,-0.12461865693330765,0.6283086538314819,0.1570366621017456,-0.13945548236370087,0.7060706615447998,0.38698169589042664,-0.07257071882486343,0.7162335515022278,0.28138360381126404,-0.11375674605369568,0.730207622051239,0.2130460888147354,-0.1342938095331192,0.7433032989501953,0.1460247039794922,-0.1441240757703781,0.7515100240707397,0.4129982888698578,-0.08234736323356628,0.7516440153121948,0.4085664451122284,-0.1277918815612793,0.7236834168434143,0.47616690397262573,-0.1324567347764969,0.7032727003097534,0.5142040252685547,-0.12439481168985367,0.7883576154708862,0.45488086342811584,-0.09527942538261414,0.7885264754295349,0.4545924961566925,-0.12741753458976746,0.7647286057472229,0.4960479140281677,-0.1253821700811386,0.7440894246101379,0.5219730138778687,-0.11709421873092651
.\dataset.\Three\img_009.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.\dataset.\Three\img_010.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
